Buyer Name,Review,Date
*******987,I Purchased For My Father ğŸ¥° Love It    ğŸ¨Design:was Epic Quinc Good ğŸ‘   ğŸ’²Price:value for money ğŸ¤‘ğŸ’°  Thanks Seller For The Awesome Watch âŒš â¤ï¸ ,03 Sep 2024
S***.,"Waterproof feature is a great advantage., The glass is scratch-resistant., Stylish and elegant design.,  ",01 Feb 2025
Mainudin A.,"Imported movement ensures accuracy., Stylish and elegant design., Perfect for business and formal occasions., The glass is scratch-resistant.,  ",23 Jan 2025
KHToh,"The watch is well packed and looks good. I've tried adjusting the time and date, the feel is responsive. The  dial is clear and easy to read. The fluorescent glow on the numbers and hands are very good too.  The only disappointment is that I can't change the bracelet to the plastic one, because the hinges are not common. ",14 Jan 2025
l***.,"Great value for money., Stylish and elegant design., Waterproof feature is a great advantage.,  ğŸ’²Price:reasonable  ğŸ¨Design:new  ğŸ› ï¸Durability:ok . Received item in good condition , nice &accurite in spec  ,           Got extra battery & tools  .worth buying .will repeat order later .ğŸ‘  ",26 Dec 2024
Prince L.,"Waterproof feature is a great advantage., Waterproof feature is a great advantage.,  ",10 Dec 2024
2***n,nice  ,23 Jan 2025
Ng H.,è°¢è°¢ï¼è€æ¿ï¼å·²ç»é€åˆ°æˆ‘å®¶äº† ,08 Jan 2025
0***6,"I received the watch, it's beautiful and I like it very much. ",23 Jan 2024
LIEW Y.,"Goods have been received.  Thank you so much for Lazada, seller and courier service.   ",13 Jul 2024
Garutay A.,"Waterproof feature is a great advantage., High-quality stainless steel strap., Stylish and elegant design., The dial size is just right., ",4 weeks ago
kuning L.,"Great value for money., Perfect for business and formal occasions., The dial size is just right., High-quality stainless steel strap., ",01 Jun 2024
Mohammad N.,"Stylish and elegant design., good paking,High-quality stainless steel strap.,  ",06 Jul 2024
R***.,"Great value for money., Perfect for business and formal occasions.,  thank you very much for gifts.....ğŸ™ğŸ‘ï¸ ",06 Jan 2025
Rasel A.,"Perfect for business and formal occasions., The glass is scratch-resistant.,  ",10 Feb 2025
guest,Beli untuk bagi hadiah pada abg ipar Assalamualaikum a reward sbb baik dgn adik ipar dia. ğŸ‘ ,17 Apr 2024
M***.,"very nice like it. over all is fine and good. thank u very much seller and the free pin ,or tool to use for adjusting the bracelet. will repeat order again . different design. thanks also lazada and delivery partners.  ",02 Apr 2024
Third-Party-User,"Perfect for business and formal occasions., High-quality stainless steel strap.,  ",12 Jan 2025
V***.,"ğŸ¨Design:Stylish and elegant design., The glass is scratch-resistant.,   ğŸ’²Price:good ğŸ˜Š ",28 Dec 2024
Syabil Q.,barang dari luar negara lmbt sikit smpi tp tgk product bru utk market ing malaysia very nice delivery..  ,28 Oct 2023
N***.,"ğŸ¨Design:ok  ğŸ› ï¸Durability:ok  ğŸ’²Price:ok The dial size is just right.,  ",16 Jan 2025
Zulkipli S.,"Imported movement ensures accuracy., Perfect for business and formal occasions., Great value for money., Durable and resistant to shock., Waterproof feature is a great advantage., The dial size is just right., Stylish and elegant design., ",28 Nov 2023
Ariful I.,"Stylish and elegant design., The dial size is just right., Waterproof feature is a great advantage.,  ",28 Feb 2024
Mahamudul I.,"The glass is scratch-resistant., Durable and resistant to shock., Stylish and elegant design., The dial size is just right.,  ",25 Nov 2024
0***5,good very good  ,29 Jun 2024
